mid,date,venue,bat_team,bowl_team,batsman,bowler,runs,wickets,overs,runs_last_5,wickets_last_5,striker,non-striker,total
1,18-04-2008,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,P Kumar,3,0,1,3,0,0,0,222
1,18-04-2008,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,Z Khan,21,0,2,21,0,18,0,222
1,18-04-2008,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,AA Noffke,32,0,3,32,0,23,0,222
1,18-04-2008,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,AA Noffke,50,0,4,50,0,35,5,222
1,18-04-2008,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,SC Ganguly,P Kumar,60,0,5,59,0,40,10,222
1,18-04-2008,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,RT Ponting,Z Khan,61,1,6,58,1,41,0,222
1,18-04-2008,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,AA Noffke,68,1,7,47,1,44,4,222
1,18-04-2008,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,Z Khan,73,1,8,41,1,47,6,222
1,18-04-2008,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,JH Kallis,77,1,9,27,1,50,7,222
1,18-04-2008,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,SB Joshi,87,1,10,27,1,58,9,222
1,18-04-2008,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,RT Ponting,JH Kallis,102,1,11,41,0,59,19,222
1,18-04-2008,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,RT Ponting,SB Joshi,112,1,12,44,0,68,20,222
1,18-04-2008,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,JH Kallis,124,2,13,51,1,79,0,222
1,18-04-2008,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,SB Joshi,130,2,14,52,1,83,2,222
1,18-04-2008,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,CL White,154,2,15,62,1,99,8,222
1,18-04-2008,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,DJ Hussey,AA Noffke,158,2,16,50,1,102,9,222
1,18-04-2008,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,Z Khan,172,2,17,56,0,113,12,222
1,18-04-2008,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,AA Noffke,179,3,18,54,1,119,1,222
1,18-04-2008,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,Mohammad Hafeez,JH Kallis,200,3,19,66,1,136,5,222
1,18-04-2008,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore,BB McCullum,P Kumar,222,3,20,68,1,158,5,222
2,19-04-2008,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,ML Hayden,B Lee,5,0,1,5,0,4,1,240
2,19-04-2008,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,PA Patel,S Sreesanth,20,0,2,20,0,15,4,240
2,19-04-2008,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,ML Hayden,B Lee,27,1,3,27,1,9,1,240
2,19-04-2008,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,MEK Hussey,S Sreesanth,33,1,4,33,1,10,6,240
2,19-04-2008,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,MEK Hussey,B Lee,42,1,5,42,1,14,10,240
2,19-04-2008,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,MEK Hussey,JR Hopes,53,1,6,40,1,21,14,240
2,19-04-2008,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,MS Dhoni,IK Pathan,62,2,7,42,2,17,2,240
2,19-04-2008,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,SK Raina,JR Hopes,70,3,8,43,2,18,7,240
2,19-04-2008,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,MEK Hussey,IK Pathan,83,3,9,50,2,26,12,240
2,19-04-2008,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,MEK Hussey,K Goel,88,3,10,46,2,30,13,240
2,19-04-2008,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,SK Raina,PP Chawla,107,3,11,54,2,37,25,240
2,19-04-2008,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,SK Raina,WA Mota,128,3,12,66,0,50,32,240
2,19-04-2008,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,JDP Oram,WA Mota,133,4,13,58,1,52,2,240
2,19-04-2008,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,MEK Hussey,JR Hopes,143,4,14,57,1,59,4,240
2,19-04-2008,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,MEK Hussey,WA Mota,161,4,15,66,1,74,7,240
2,19-04-2008,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,MEK Hussey,IK Pathan,169,5,16,52,2,75,1,240
2,19-04-2008,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,S Badrinath,S Sreesanth,183,5,17,55,1,87,3,240
2,19-04-2008,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,MEK Hussey,IK Pathan,200,5,18,67,1,99,8,240
2,19-04-2008,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,MEK Hussey,B Lee,215,5,19,72,1,108,14,240
2,19-04-2008,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,Kings XI Punjab,MEK Hussey,JR Hopes,240,5,20,79,1,116,31,240
3,19-04-2008,Feroz Shah Kotla,Rajasthan Royals,Delhi Daredevils,T Kohli,GD McGrath,7,0,1,7,0,6,0,129
3,19-04-2008,Feroz Shah Kotla,Rajasthan Royals,Delhi Daredevils,YK Pathan,B Geeves,17,0,2,17,0,9,7,129
3,19-04-2008,Feroz Shah Kotla,Rajasthan Royals,Delhi Daredevils,SR Watson,GD McGrath,17,1,3,17,1,9,0,129
3,19-04-2008,Feroz Shah Kotla,Rajasthan Royals,Delhi Daredevils,SR Watson,B Geeves,31,2,4,31,2,13,0,129
3,19-04-2008,Feroz Shah Kotla,Rajasthan Royals,Delhi Daredevils,SR Watson,GD McGrath,37,2,5,37,2,18,1,129
3,19-04-2008,Feroz Shah Kotla,Rajasthan Royals,Delhi Daredevils,M Kaif,MF Maharoof,40,2,6,33,2,20,1,129
3,19-04-2008,Feroz Shah Kotla,Rajasthan Royals,Delhi Daredevils,M Kaif,R Bhatia,44,3,7,27,3,4,0,129
3,19-04-2008,Feroz Shah Kotla,Rajasthan Royals,Delhi Daredevils,RA Jadeja,MF Maharoof,48,4,8,31,3,5,1,129
3,19-04-2008,Feroz Shah Kotla,Rajasthan Royals,Delhi Daredevils,RA Jadeja,R Bhatia,51,4,9,20,2,6,2,129
3,19-04-2008,Feroz Shah Kotla,Rajasthan Royals,Delhi Daredevils,M Kaif,MF Maharoof,57,4,10,20,2,9,4,129
3,19-04-2008,Feroz Shah Kotla,Rajasthan Royals,Delhi Daredevils,RA Jadeja,R Bhatia,59,5,11,19,3,5,1,129
3,19-04-2008,Feroz Shah Kotla,Rajasthan Royals,Delhi Daredevils,RA Jadeja,DL Vettori,71,5,12,27,2,16,2,129
3,19-04-2008,Feroz Shah Kotla,Rajasthan Royals,Delhi Daredevils,RA Jadeja,R Bhatia,80,6,13,32,2,17,6,129
3,19-04-2008,Feroz Shah Kotla,Rajasthan Royals,Delhi Daredevils,D Salunkhe,B Geeves,87,6,14,35,2,23,7,129
3,19-04-2008,Feroz Shah Kotla,Rajasthan Royals,Delhi Daredevils,SK Warne,DL Vettori,96,7,15,39,3,8,2,129
3,19-04-2008,Feroz Shah Kotla,Rajasthan Royals,Delhi Daredevils,SK Warne,B Geeves,106,7,16,41,2,12,8,129
3,19-04-2008,Feroz Shah Kotla,Rajasthan Royals,Delhi Daredevils,SK Warne,DL Vettori,110,7,17,39,1,14,10,129
3,19-04-2008,Feroz Shah Kotla,Rajasthan Royals,Delhi Daredevils,D Salunkhe,MF Maharoof,111,8,18,31,2,10,1,129
3,19-04-2008,Feroz Shah Kotla,Rajasthan Royals,Delhi Daredevils,D Salunkhe,DL Vettori,121,8,19,34,2,19,2,129
3,19-04-2008,Feroz Shah Kotla,Rajasthan Royals,Delhi Daredevils,D Salunkhe,GD McGrath,129,8,20,33,1,26,3,129
4,20-04-2008,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,L Ronchi,P Kumar,8,0,1,8,0,8,0,165
4,20-04-2008,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,DJ Thornely,Z Khan,13,1,2,13,1,1,0,165
4,20-04-2008,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,DJ Thornely,P Kumar,19,1,3,19,1,6,0,165
4,20-04-2008,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,ST Jayasuriya,JH Kallis,23,2,4,23,2,7,2,165
4,20-04-2008,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,ST Jayasuriya,JH Kallis,41,2,5,37,2,25,2,165
4,20-04-2008,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,PR Shah,Z Khan,47,3,6,38,3,4,0,165
4,20-04-2008,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,PR Shah,R Vinay Kumar,54,3,7,37,2,10,1,165
4,20-04-2008,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,RV Uthappa,B Akhil,60,3,8,41,2,14,3,165
4,20-04-2008,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,PR Shah,JH Kallis,72,3,9,49,1,20,8,165
4,20-04-2008,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,RV Uthappa,R Vinay Kumar,74,3,10,33,1,21,8,165
4,20-04-2008,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,RV Uthappa,SB Joshi,81,3,11,34,0,22,14,165
4,20-04-2008,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,RV Uthappa,R Vinay Kumar,94,3,12,40,0,32,17,165
4,20-04-2008,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,PR Shah,SB Joshi,97,3,13,37,0,33,19,165
4,20-04-2008,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,AM Nayar,B Akhil,99,4,14,27,1,34,0,165
4,20-04-2008,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,RV Uthappa,P Kumar,105,4,15,31,1,38,2,165
4,20-04-2008,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,RV Uthappa,JH Kallis,118,4,16,37,1,48,4,165
4,20-04-2008,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,SM Pollock,B Akhil,129,5,17,35,2,10,4,165
4,20-04-2008,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,SM Pollock,R Vinay Kumar,149,5,18,52,2,19,15,165
4,20-04-2008,Wankhede Stadium,Mumbai Indians,Royal Challengers Bangalore,SM Pollock,P Kumar,158,6,19,58,2,23,0,165
